Joint Number,Joint Length [ft],WT [in],"Distance to U/S GW 
[ft]","Distance to D/S GW 
[ft]","ILI Wheel Count 
[ft.]",Event Description,ID/OD,"Metal Loss Depth 
[%]","Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Width [in],"O'clock
[hh:mm]",Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2015
90,31.627,0.344,,,144.81,Girth Weld,,,,,,,,,,,,,GIRTH WELD,3,,,5.97,206.636,01:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
90,31.627,0.344,1.48,30.148,146.289,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,4.1,6.1,08:29:00,EXT ML,3,N,N,5.97,206.052,01:12,27.227,CMFL,1025,65000,E.R. WELD,24,1341.6,1433.9,1991.5,1334.8,1853.8,1430.7,1987.1,0.715,1.067,1.0,1.2,240.0,0.451104,ft,104.13999999999999,in,154.93999999999997,in,23.0,240.0,gene,True,True,True,-242.19171908992533
90,31.627,0.344,1.65,29.977,146.46,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,1.2,2.0,11:58:00,EXT ML,3,N,N,5.97,205.985,01:12,7.749,CMFL,1025,65000,E.R. WELD,24,1341.6,1531.2,2126.7,1514.5,2103.5,1527.6,2121.6,0.669,1.142,1.0,1.2,330.0,0.50292,ft,30.479999999999997,in,50.8,in,20.0,330.0,gene,True,True,True,-220.7115318193451
90,31.627,0.344,30.574,1.053,175.384,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.7,2.9,08:07:00,EXT ML,3,N,N,5.97,194.421,01:12,31.835,CMFL,1025,65000,E.R. WELD,24,1341.6,1451.2,2015.6,1337.6,1857.7,1432.6,1989.7,0.706,1.081,1.0,1.2,240.0,9.318955200000001,ft,144.78,in,73.66,in,15.0,240.0,gene,True,True,True,3433.9528012057262
100,40.102,0.344,,,176.437,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,193.999,02:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
110,40.049,0.344,,,216.539,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,177.763,11:16,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
120,13.484,0.5,,,256.588,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,1,,,4.14,161.354,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
120,13.484,0.5,,,263.232,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 6.3D - 37° LEFT,1,,,4.14,159.254,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
120,13.484,0.5,8.579,4.905,265.167,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,2.1,3.4,12:03:00,EXT ML,1,N,N,4.14,158.751,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,2051.2,2848.8,2006.8,2787.3,2040.3,2833.7,0.5,1.14,1.0,1.2,0.0,2.6148792000000003,ft,53.339999999999996,in,86.36,in,23.0,0.0,gene,True,True,True,654.7956305209507
130,40.135,0.344,,,270.072,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,157.479,01:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
130,40.135,0.344,,,271.224,Attachment,,,,,,,,,,,,06:00:00,ATTACHMENT,0,,,5.97,157.179,01:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,180.0,,ft,,in,,in,,180.0,,False,False,False,
140,40.082,0.344,,,310.207,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,153.163,11:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
150,10.377,0.5,,,350.289,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,155.649,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
150,10.377,0.5,,,355.335,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.7D - 26° RIGHT,0,,,4.14,155.928,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
160,17.005,0.344,,,360.666,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,156.134,11:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
170,8.215,0.5,,,377.671,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,157.117,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
170,8.215,0.5,,,381.68,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 6.0D - 18° UNDER,0,,,4.14,157.496,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
180,23.018,0.344,,,385.886,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,158.126,09:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
190,10.194,0.5,,,408.904,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,164.0,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
190,10.194,0.5,,,413.855,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.8D - 25° UNDER,0,,,4.14,165.545,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
200,12.087,0.344,,,419.098,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,3,,,5.97,167.417,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
200,12.087,0.344,4.006,8.081,423.104,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.2,2.0,11:18:00,EXT ML,3,N,N,5.97,169.08,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1521.4,2113.0,1482.7,2059.3,1516.1,2105.6,0.674,1.134,1.0,1.2,330.0,1.2210288,ft,55.88,in,50.8,in,13.0,330.0,gene,True,True,True,76.97859294234297
200,12.087,0.344,4.475,7.612,423.573,Metal Loss,External,12.0,0.041,27.0,AXGR,20.0,,,,2.4,1.0,11:02:00,EXT ML,3,N,N,5.97,169.321,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1517.7,2107.9,1473.5,2046.5,1511.7,2099.6,0.675,1.132,1.0,1.2,330.0,1.36398,ft,60.959999999999994,in,25.4,in,12.0,330.0,axgr,True,True,True,136.2386390005907
200,12.087,0.344,10.115,1.972,429.213,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.3,2.9,02:49:00,EXT ML,3,N,N,5.97,172.204,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1514.2,2103.0,1470.8,2042.8,1507.4,2093.6,0.677,1.129,1.0,1.2,60.0,3.0830520000000003,ft,58.419999999999995,in,73.66,in,15.0,60.0,gene,True,True,True,848.8754402127813
210,9.304,0.5,,,431.184,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,173.212,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
210,9.304,0.5,,,435.771,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.2D - 25° OVER,0,,,4.14,174.744,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
215,7.503,0.344,,,440.489,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,1,,,5.97,175.317,08:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
215,7.503,0.344,0.315,7.188,440.804,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,15.0,8.8,06:21:00,EXT ML,1,N,N,5.97,175.355,08:36,14.451,CMFL,1025,65000,E.R. WELD,24,1341.6,1396.0,1938.9,1233.0,1712.6,1399.6,1943.9,0.734,1.04,1.0,1.2,180.0,0.096012,ft,381.0,in,223.52,in,15.0,180.0,gene,True,True,True,-389.3941789147838
220,40.092,0.344,,,447.992,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,177.408,08:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
230,40.2,0.344,,,488.084,Girth Weld,,,,,,,,,,,,,GIRTH WELD,4,,,5.97,186.711,08:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
230,40.2,0.344,0.161,40.039,488.245,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.3,1.5,05:35:00,EXT ML,4,N,N,5.97,186.747,08:28,18.012,CMFL,1025,65000,E.R. WELD,24,1341.6,1496.3,2078.2,1425.0,1979.2,1486.1,2064.1,0.685,1.114,1.0,1.2,150.0,0.04907280000000001,ft,83.82,in,38.099999999999994,in,14.0,150.0,gene,True,True,True,-408.85270150107414
230,40.2,0.344,29.091,11.109,517.175,Seam Weld Manufacturing Anomaly,,,,,,,,,,3.5,,08:31:00,SWA,4,N,N,5.97,189.334,08:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,240.0,8.866936800000001,ft,88.89999999999999,in,,in,,240.0,,True,False,False,3246.5697557806056
230,40.2,0.344,35.515,4.685,523.599,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.4,,08:34:00,*SWA,4,Y,Y,5.97,189.832,08:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,240.0,10.824972,ft,111.76,in,,in,,240.0,,True,False,False,4058.268126523001
230,40.2,0.344,38.842,1.362,526.923,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,1.7,02:57:00,EXT ML,4,N,N,5.97,190.09,08:28,34.558,CMFL,1025,65000,E.R. WELD,24,1341.6,1500.9,2084.6,1447.2,2010.0,1491.3,2071.2,0.683,1.119,1.0,1.2,60.0,11.8390416,ft,66.03999999999999,in,43.18,in,17.0,60.0,gene,True,True,True,4478.6480268125315
240,40.312,0.344,,,528.284,Girth Weld,,,,,,,,,,,,,GIRTH WELD,10,,,5.97,190.196,03:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
240,40.312,0.344,0.184,40.128,528.468,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,14.9,19.6,07:02:00,EXT ML,10,N,N,5.97,190.21,03:20,27.855,CMFL,1025,65000,E.R. WELD,24,1341.6,1308.5,1817.3,1142.0,1586.1,1339.0,1859.7,0.783,0.977,1.0,1.2,210.0,0.0560832,ft,378.46,in,497.84000000000003,in,23.0,210.0,gene,True,True,True,-405.9465585174074
240,40.312,0.344,0.84,39.475,529.121,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,14.0,8.4,08:37:00,EXT ML,10,N,N,5.97,190.261,03:20,34.976,CMFL,1025,65000,E.R. WELD,24,1341.6,1437.6,1996.6,1281.7,1780.2,1433.4,1990.9,0.713,1.073,1.0,1.2,240.0,0.256032,ft,355.59999999999997,in,213.35999999999999,in,11.0,240.0,gene,True,True,True,-323.05830646152145
240,40.312,0.344,1.007,39.304,529.291,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,2.5,2.0,04:13:00,EXT ML,10,N,N,5.97,190.274,03:20,5.655,CMFL,1025,65000,E.R. WELD,24,1341.6,1502.1,2086.2,1449.7,2013.4,1492.6,2073.0,0.682,1.119,1.0,1.2,120.0,0.3069336,ft,63.5,in,50.8,in,18.0,120.0,gene,True,True,True,-301.9571813192456
240,40.312,0.344,5.827,34.485,534.111,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,1.5,3.4,09:02:00,EXT ML,10,N,N,5.97,190.657,03:20,35.814,CMFL,1025,65000,E.R. WELD,24,1341.6,1514.6,2103.6,1485.8,2063.6,1506.8,2092.8,0.677,1.128,1.0,1.2,270.0,1.7760696,ft,38.099999999999994,in,86.36,in,27.0,270.0,gene,True,True,True,307.0693048230874
240,40.312,0.344,6.257,34.058,534.537,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,4.1,1.8,08:56:00,EXT ML,10,N,N,5.97,190.691,03:20,35.186,CMFL,1025,65000,E.R. WELD,24,1341.6,1490.4,2070.0,1407.6,1955.0,1479.4,2054.7,0.688,1.112,1.0,1.2,240.0,1.9071336,ft,104.13999999999999,in,45.72,in,12.0,240.0,gene,True,True,True,361.4015432133786
240,40.312,0.344,6.781,33.53,535.066,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.7,1.4,08:50:00,EXT ML,10,N,N,5.97,190.733,03:20,34.558,CMFL,1025,65000,E.R. WELD,24,1341.6,1505.7,2091.2,1449.3,2013.0,1497.2,2079.4,0.681,1.121,1.0,1.2,240.0,2.0668488,ft,68.58,in,35.559999999999995,in,15.0,240.0,gene,True,True,True,427.6110616238728
240,40.312,0.344,7.323,32.992,535.604,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,1.6,1.3,08:46:00,EXT ML,10,N,N,5.97,190.776,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1341.6,1527.3,2121.2,1501.7,2085.6,1523.0,2115.2,0.671,1.138,1.0,1.2,240.0,2.2320504000000003,ft,40.64,in,33.019999999999996,in,16.0,240.0,gene,True,True,True,496.0949528041934
240,40.312,0.344,7.7,32.612,535.984,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,1.9,2.3,08:46:00,EXT ML,10,N,N,5.97,190.807,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1341.6,1523.0,2115.3,1488.5,2067.3,1517.9,2108.2,0.673,1.134,1.0,1.2,240.0,2.34696,ft,48.26,in,58.419999999999995,in,15.0,240.0,gene,True,True,True,543.7304269277743
240,40.312,0.344,38.967,1.348,567.247,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.5,2.8,04:36:00,EXT ML,10,N,N,5.97,193.312,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1341.6,1513.7,2102.3,1466.4,2036.7,1506.9,2092.9,0.677,1.129,1.0,1.2,120.0,11.8771416,ft,63.5,in,71.11999999999999,in,13.0,120.0,gene,True,True,True,4494.442282158547
