J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2007
30.0,10.14,0.5,,,28.69,GirthWeld,,,,,,,,,,,0.7,224.08,,,,1160.0,60000.0,,1800.0,,,,,,,,,,8.744712000000002,ft,,in,,in,,,,False,False,False,35.44915244936189
30.0,,,,,34.13,Bend,,,,,,,,,5.5D -  42° - Sag,,,221.04,,,,,,,,,,,,,,,,,10.402824,ft,,in,,in,,,,False,False,False,37.10804443363539
40.0,14.89,0.5,,,38.83,GirthWeld,,,,,,,,,,,0.7,220.32,,,,1160.0,60000.0,,1800.0,,,,,,,,,,11.835384,ft,,in,,in,,,,False,False,False,38.541278317106986
40.0,,,,,46.35,Bend,,,,,,,,,5.7D -  53° - Right,,,220.25,,,,,,,,,,,,,,,,,14.12748,ft,,in,,in,,,,False,False,False,40.83445253066153
50.0,40.34,0.344,,,53.72,GirthWeld,,,,,,,,,,,0.7,220.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,16.373856,ft,,in,,in,,,,False,False,False,43.08188523729677
60.0,9.27,0.5,,,94.06,GirthWeld,,,,,,,,,,,0.7,219.03,,,,1160.0,60000.0,,1800.0,,,,,,,,,,28.669488,ft,,in,,in,,,,False,False,False,55.38330116479548
60.0,,,,,98.98,Bend,,,,,,,,,5.7D -  23° - Left,,,218.88,,,,,,,,,,,,,,,,,30.169104000000004,ft,,in,,in,,,,False,False,False,56.88362259174873
70.0,8.19,0.5,,,103.33,GirthWeld,,,,,,,,,,,0.7,218.74,,,,1160.0,60000.0,,1800.0,,,,,,,,,,31.494984000000002,ft,,in,,in,,,,False,False,False,58.2101262924086
70.0,,,,,107.6,Bend,,,,,,,,,5.2D -  18° - Over,,,218.56,,,,,,,,,,,,,,,,,32.79648,ft,,in,,in,,,,False,False,False,59.512234522711516
70.01,17.36,0.344,,,111.52,GirthWeld,,,,,,,,,,,0.7,218.01,,,,1160.0,65000.0,,1342.0,,,,,,,,,,33.991296,ft,,in,,in,,,,False,False,False,60.70761257020271
80.0,15.14,0.344,,,128.88,GirthWeld,,,,,,,,,,,0.7,211.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,,39.282624,ft,,in,,in,,,,False,False,False,66.00142963766373
90.0,31.6,0.344,,,144.02,GirthWeld,,,,,,,,,,,0.7,205.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,43.897296000000004,ft,,in,,in,,,,False,False,False,70.61827240271904
100.0,40.08,0.344,,,175.63,GirthWeld,,,,,,,,,,,0.7,193.0,,,,1160.0,65000.0,,1342.0,,,,,,,,,,53.532024,ft,,in,,in,,,,False,False,False,80.25753262751414
110.0,40.16,0.344,,,215.7,GirthWeld,,,,,,,,,,,0.7,176.75,,,,1160.0,65000.0,,1342.0,,,,,,,,,,65.74536,ft,,in,,in,,,,False,False,False,92.47661384255812
120.0,13.14,0.5,,,255.86,GirthWeld,,,,,,,,,,,0.7,160.33,,,,1160.0,60000.0,,1800.0,,,,,,,,,,77.98612800000001,ft,,in,,in,,,,False,False,False,104.72313996175367
120.0,,,,,262.71,Bend,,,,,,,,,6.3D -  37° - Left,,,157.57,,,,,,,,,,,,,,,,,80.07400799999999,ft,,in,,in,,,,False,False,False,106.81200211106864
130.0,40.49,0.344,,,269.0,GirthWeld,,,,,,,,,,,0.7,156.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,,81.9912,ft,,in,,in,,,,False,False,False,108.73009596788489
140.0,40.16,0.344,,,309.49,GirthWeld,,,,,,,,,,,0.7,152.92,,,,1160.0,65000.0,,1342.0,,,,,,,,,,94.332552,ft,,in,,in,,,,False,False,False,121.07725340230292
150.0,9.68,0.5,,,349.65,GirthWeld,,,,,,,,,,,0.7,155.83,,,,1160.0,60000.0,,1800.0,,,,,,,,,,106.57332,ft,,in,,in,,,,False,False,False,133.32377952149844
150.0,,,,,354.84,Bend,,,,,,,,,5.7D -  26° - Right,,,156.07,,,,,,,,,,,,,,,,,108.155232,ft,,in,,in,,,,False,False,False,134.90643566090642
160.0,17.58,0.344,,,359.33,GirthWeld,,,,,,,,,,,0.7,156.23,,,,1160.0,65000.0,,1342.0,,,,,,,,,,109.523784,ft,,in,,in,,,,False,False,False,136.275631434691
170.0,7.61,0.5,,,376.91,GirthWeld,,,,,,,,,,,0.7,157.27,,,,1160.0,60000.0,,1800.0,,,,,,,,,,114.88216800000001,ft,,in,,in,,,,False,False,False,141.63653604563368
170.0,,,,,381.04,Bend,,,,,,,,,6.0D -  18° - Sag,,,157.85,,,,,,,,,,,,,,,,,116.14099200000001,ft,,in,,in,,,,False,False,False,142.8959522028119
180.0,23.34,0.344,,,384.52,GirthWeld,,,,,,,,,,,0.7,158.5,,,,1160.0,65000.0,,1342.0,,,,,,,,,,117.201696,ft,,in,,in,,,,False,False,False,143.9571551633398
190.0,9.48,0.5,,,407.86,GirthWeld,,,,,,,,,,,0.7,164.67,,,,1160.0,60000.0,,1800.0,,,,,,,,,,124.31572800000001,ft,,in,,in,,,,False,False,False,151.07453363998383
190.0,,,,,413.15,Bend,,,,,,,,,5.8D -  25° - Sag,,,166.59,,,,,,,,,,,,,,,,,125.92811999999999,ft,,in,,in,,,,False,False,False,152.68768411733802
200.0,12.61,0.344,,,417.34,GirthWeld,,,,,,,,,,,0.7,168.31,,,,1160.0,65000.0,,1342.0,,,,,,,,,,127.205232,ft,,in,,in,,,,False,False,False,153.96539687728398
210.0,8.8,0.5,,,429.95,GirthWeld,,,,,,,,,,,0.7,174.49,,,,1160.0,60000.0,,1800.0,,,,,,,,,,131.04876000000002,ft,,in,,in,,,,False,False,False,157.8107328923003
210.0,,,,,434.43,Bend,,,,,,,,,5.2D -  25° - Over,,,175.44,,,,,,,,,,,,,,,,,132.414264,ft,,in,,in,,,,False,False,False,159.17687923229025
210.01,7.51,0.344,,,438.75,GirthWeld,,,,,,,,,,,0.7,175.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,,133.731,ft,,in,,in,,,,False,False,False,160.49423463156626
220.0,40.04,0.344,,,446.26,GirthWeld,,,,,,,,,,,0.7,178.3,,,,1160.0,65000.0,,1342.0,,,,,,,,,,136.020048,ft,,in,,in,,,,False,False,False,162.7843594113262
230.0,39.85,0.344,,,486.3,GirthWeld,,,,,,,,,,,0.7,187.27,,,,1160.0,65000.0,,1342.0,,,,,,,,,,148.22424,ft,,in,,in,,,,False,False,False,174.9942923249863
240.0,39.97,0.344,,,526.15,GirthWeld,,,,,,,,,,,0.7,190.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,,160.37052,ft,,in,,in,,,,False,False,False,187.1462859965486
250.0,39.99,0.344,,,566.12,GirthWeld,,,,,,,,,,,0.7,193.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,,172.55337600000001,ft,,in,,in,,,,False,False,False,199.3348728736464
260.0,31.41,0.344,,,606.11,GirthWeld,,,,,,,,,,,0.7,196.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,184.74232800000001,ft,,in,,in,,,,False,False,False,211.5295586183334
270.0,9.27,0.5,,,637.51,GirthWeld,,,,,,,,,,,0.7,198.77,,,,1160.0,60000.0,,1800.0,,,,,,,,,,194.313048,ft,,in,,in,,,,False,False,False,221.10478073344146
270.0,,,,,642.47,Bend,,,,,,,,,5.5D -  24° - Over,,,199.1,,,,,,,,,,,,,,,,,195.824856,ft,,in,,in,,,,False,False,False,222.61729989557318
280.0,8.1,0.5,,,646.78,GirthWeld,,,,,,,,,,,0.7,199.39,,,,1160.0,60000.0,,1800.0,,,,,,,,,,197.138544,ft,,in,,in,,,,False,False,False,223.93160586105458
280.0,,,,,651.2,Bend,,,,,,,,,5.9D -  18° - Left,,,199.69,,,,,,,,,,,,,,,,,198.48576000000003,ft,,in,,in,,,,False,False,False,225.27945559827683
290.0,15.46,0.344,,,654.88,GirthWeld,,,,,,,,,,,0.7,199.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,,199.607424,ft,,in,,in,,,,False,False,False,226.40164723469712
300.0,7.65,0.5,,,670.33,GirthWeld,,,,,,,,,,,0.7,201.0,,,,1160.0,60000.0,,1800.0,,,,,,,,,,204.31658400000003,ft,,in,,in,,,,False,False,False,231.11302244738567
300.0,,,,,674.44,Bend,,,,,,,,,5.6D -  20° - Sag,,,201.29,,,,,,,,,,,,,,,,,205.56931200000002,ft,,in,,in,,,,False,False,False,232.36633973697465
310.0,8.94,0.344,,,677.99,GirthWeld,,,,,,,,,,,0.7,201.54,,,,1160.0,65000.0,,1342.0,,,,,,,,,,206.651352,ft,,in,,in,,,,False,False,False,233.44888873406487
320.0,10.36,0.344,,,686.92,GirthWeld,,,,,,,,,,,0.7,202.2,,,,1160.0,65000.0,,1342.0,,,,,,,,,,209.37321599999999,ft,,in,,in,,,,False,False,False,236.17203311266087
330.0,39.98,0.344,,,697.29,GirthWeld,,,,,,,,,,,0.7,203.0,,,,1160.0,65000.0,,1342.0,,,,,,,,,,212.533992,ft,,in,,in,,,,False,False,False,239.33429595768226
340.0,10.68,0.5,,,737.27,GirthWeld,,,,,,,,,,,0.7,206.23,,,,1160.0,60000.0,,1800.0,,,,,,,,,,224.719896,ft,,in,,in,,,,False,False,False,251.52593226857462
340.0,,,,,742.69,Bend,,,,,,,,,5.8D -  28° - Left,,,206.68,,,,,,,,,,,,,,,,,226.37191200000004,ft,,in,,in,,,,False,False,False,253.17872538525893
350.0,6.28,0.344,,,747.95,GirthWeld,,,,,,,,,,,0.7,207.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,,227.97516000000002,ft,,in,,in,,,,False,False,False,254.78272756122925
360.0,30.55,0.344,,,754.23,GirthWeld,,,,,,,,,,,0.7,207.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,229.889304,ft,,in,,in,,,,False,False,False,256.69777198425083
370.0,37.86,0.344,,,784.79,GirthWeld,,,,,,,,,,,0.7,210.25,,,,1160.0,65000.0,,1342.0,,,,,,,,,,239.203992,ft,,in,,in,,,,False,False,False,266.0168416606108
380.0,40.06,0.344,,,822.65,GirthWeld,,,,,,,,,,,0.7,213.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,,250.74372,ft,,in,,in,,,,False,False,False,277.56199800704366
390.0,40.04,0.344,,,862.71,GirthWeld,,,,,,,,,,,0.7,225.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,262.95400800000004,ft,,in,,in,,,,False,False,False,289.77802978829305
400.0,40.15,0.344,,,902.75,GirthWeld,,,,,,,,,,,0.7,237.79,,,,1160.0,65000.0,,1342.0,,,,,,,,,,275.1582,ft,,in,,in,,,,False,False,False,301.98796270195317
410.0,11.86,0.5,,,942.9,GirthWeld,,,,,,,,,,,0.7,247.8,,,,1160.0,60000.0,,1800.0,,,,,,,,,,287.39592,ft,,in,,in,,,,False,False,False,314.23143938735404
410.0,,,,,949.14,Bend,,,,,,,,,5.9D -  33° - Right,,,249.36,,,,,,,,,,,,,,,,,289.297872,ft,,in,,in,,,,False,False,False,316.13428607519717
420.0,30.08,0.344,,,954.76,GirthWeld,,,,,,,,,,,0.7,250.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,291.010848,ft,,in,,in,,,,False,False,False,317.84806786777386
430.0,13.2,0.5,,,984.83,GirthWeld,,,,,,,,,,,0.7,258.59,,,,1160.0,60000.0,,1800.0,,,,,,,,,,300.17618400000003,ft,,in,,in,,,,False,False,False,327.01771528819745
430.0,,,,,991.56,Bend,,,,,,,,,6.1D -  37° - Right,,,260.42,,,,,,,,,,,,,,,,,302.227488,ft,,in,,in,,,,False,False,False,329.06998423197695
440.0,40.32,0.344,,,998.04,GirthWeld,,,,,,,,,,,0.7,262.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,,304.202592,ft,,in,,in,,,,False,False,False,331.04601733089095
450.0,40.05,0.344,,,1038.36,GirthWeld,,,,,,,,,,,0.7,273.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,,316.492128,ft,,in,,in,,,,False,False,False,343.34133439080045
460.0,40.09,0.344,,,1078.41,GirthWeld,,,,,,,,,,,0.7,284.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,,328.69936800000005,ft,,in,,in,,,,False,False,False,355.55431673825524
470.0,40.09,0.344,,,1118.5,GirthWeld,,,,,,,,,,,0.7,295.19,,,,1160.0,65000.0,,1342.0,,,,,,,,,,340.91880000000003,ft,,in,,in,,,,False,False,False,367.7794968208884
480.0,40.14,0.344,,,1158.59,GirthWeld,,,,,,,,,,,0.7,306.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,,353.138232,ft,,in,,in,,,,False,False,False,380.0046769035216
490.0,40.13,0.344,,,1198.74,GirthWeld,,,,,,,,,,,0.7,318.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,,365.37595200000004,ft,,in,,in,,,,False,False,False,392.2481535889226
500.0,40.13,0.344,,,1238.87,GirthWeld,,,,,,,,,,,0.7,330.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,,377.607576,ft,,in,,in,,,,False,False,False,404.4855314067342
510.0,40.13,0.344,,,1279.0,GirthWeld,,,,,,,,,,,0.7,343.6,,,,1160.0,65000.0,,1342.0,,,,,,,,,,389.8392,ft,,in,,in,,,,False,False,False,416.7229092245459
520.0,40.13,0.344,,,1319.13,GirthWeld,,,,,,,,,,,0.7,358.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,,402.0708240000001,ft,,in,,in,,,,False,False,False,428.96028704235766
530.0,40.07,0.344,,,1359.26,GirthWeld,,,,,,,,,,,0.7,372.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,,414.302448,ft,,in,,in,,,,False,False,False,441.1976648601693
540.0,40.08,0.344,,,1399.33,GirthWeld,,,,,,,,,,,0.7,387.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,426.515784,ft,,in,,in,,,,False,False,False,453.41674607521327
550.0,35.11,0.344,,,1439.41,GirthWeld,,,,,,,,,,,0.7,402.08,,,,1160.0,65000.0,,1342.0,,,,,,,,,,438.73216800000006,ft,,in,,in,,,,False,False,False,465.6388767240519
560.0,40.08,0.344,,,1474.52,GirthWeld,,,,,,,,,,,0.7,414.89,,,,1160.0,65000.0,,1342.0,,,,,,,,,,449.433696,ft,,in,,in,,,,False,False,False,476.3454387769641
570.0,40.07,0.344,,,1514.6,GirthWeld,,,,,,,,,,,0.7,429.58,,,,1160.0,65000.0,,1342.0,,,,,,,,,,461.65008,ft,,in,,in,,,,False,False,False,488.5675694258027
580.0,40.01,0.344,,,1554.67,GirthWeld,,,,,,,,,,,0.7,444.49,,,,1160.0,65000.0,,1342.0,,,,,,,,,,473.86341600000003,ft,,in,,in,,,,False,False,False,500.7866506408467
590.0,39.97,0.344,,,1594.69,GirthWeld,,,,,,,,,,,0.7,459.42,,,,1160.0,65000.0,,1342.0,,,,,,,,,,486.06151200000005,ft,,in,,in,,,,False,False,False,512.9904846869175
600.0,40.02,0.344,,,1634.65,GirthWeld,,,,,,,,,,,0.7,473.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,,498.24132000000003,ft,,in,,in,,,,False,False,False,525.1760221302206
610.0,39.99,0.344,,,1674.68,GirthWeld,,,,,,,,,,,0.7,486.96,,,,1160.0,65000.0,,1342.0,,,,,,,,,,510.44246400000003,ft,,in,,in,,,,False,False,False,537.3829056100861
620.0,39.95,0.344,,,1714.66,GirthWeld,,,,,,,,,,,0.7,500.45,,,,1160.0,65000.0,,1342.0,,,,,,,,,,522.628368,ft,,in,,in,,,,False,False,False,549.5745419209785
630.0,40.06,0.344,,,1754.61,GirthWeld,,,,,,,,,,,0.7,513.7,,,,1160.0,65000.0,,1342.0,,,,,,,,,,534.805128,ft,,in,,in,,,,False,False,False,561.7570299304871
640.0,27.03,0.344,,,1794.68,GirthWeld,,,,,,,,,,,0.7,526.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,,547.018464,ft,,in,,in,,,,False,False,False,573.976111145531
650.0,40.04,0.344,,,1821.71,GirthWeld,,,,,,,,,,,0.7,535.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,555.257208,ft,,in,,in,,,,False,False,False,582.21873069239
660.0,39.95,0.344,,,1861.75,GirthWeld,,,,,,,,,,,0.7,548.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,,567.4614,ft,,in,,in,,,,False,False,False,594.4286636060501
670.0,38.86,0.344,,,1901.7,GirthWeld,,,,,,,,,,,0.7,560.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,,579.6381600000001,ft,,in,,in,,,,False,False,False,606.6111516155587
680.0,40.06,0.344,,,1940.56,GirthWeld,,,,,,,,,,,0.7,573.53,,,,1160.0,65000.0,,1342.0,,,,,,,,,,591.482688,ft,,in,,in,,,,False,False,False,618.4612513414536
690.0,40.1,0.344,,,1980.62,GirthWeld,,,,,,,,,,,0.7,586.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,603.692976,ft,,in,,in,,,,False,False,False,630.6772831227029
700.0,40.09,0.344,,,2020.72,GirthWeld,,,,,,,,,,,0.7,599.1,,,,1160.0,65000.0,,1342.0,,,,,,,,,,615.9154560000001,ft,,in,,in,,,,False,False,False,642.9055126391307
710.0,40.1,0.344,,,2060.81,GirthWeld,,,,,,,,,,,0.7,611.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,628.134888,ft,,in,,in,,,,False,False,False,655.1306927217639
720.0,39.99,0.344,,,2100.91,GirthWeld,,,,,,,,,,,0.7,622.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,,640.357368,ft,,in,,in,,,,False,False,False,667.3589222381917
730.0,40.04,0.344,,,2140.9,GirthWeld,,,,,,,,,,,0.7,634.75,,,,1160.0,65000.0,,1342.0,,,,,,,,,,652.54632,ft,,in,,in,,,,False,False,False,679.5536079828788
740.0,40.06,0.344,,,2180.93,GirthWeld,,,,,,,,,,,0.7,646.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,,664.747464,ft,,in,,in,,,,False,False,False,691.7604914627442
750.0,39.84,0.344,,,2220.99,GirthWeld,,,,,,,,,,,0.7,658.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,676.9577519999999,ft,,in,,in,,,,False,False,False,703.9765232439935
760.0,40.04,0.344,,,2260.83,GirthWeld,,,,,,,,,,,0.7,669.33,,,,1160.0,65000.0,,1342.0,,,,,,,,,,689.100984,ft,,in,,in,,,,False,False,False,716.1254674817613
770.0,10.4,0.344,,,2300.87,GirthWeld,,,,,,,,,,,0.7,679.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,,701.305176,ft,,in,,in,,,,False,False,False,728.3354003954213
780.0,40.08,0.344,,,2311.27,GirthWeld,,,,,,,,,,,0.7,682.54,,,,1160.0,65000.0,,1342.0,,,,,,,,,,704.475096,ft,,in,,in,,,,False,False,False,731.5068115418266
790.0,14.53,0.5,,,2351.35,GirthWeld,,,,,,,,,,,0.7,691.71,,,,1160.0,60000.0,,1800.0,,,,,,,,,,716.69148,ft,,in,,in,,,,False,False,False,743.7289421906652
790.0,,,,,2358.82,Bend,,,,,,,,,6.3D -  43° - Left,,,693.21,,,,,,,,,,,,,,,,,718.9683360000001,ft,,in,,in,,,,False,False,False,746.0068692352468
800.0,23.93,0.344,,,2365.88,GirthWeld,,,,,,,,,,,0.7,694.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,,721.1202240000001,ft,,in,,in,,,,False,False,False,748.1597694942487
810.0,40.04,0.344,,,2389.82,GirthWeld,,,,,,,,,,,0.7,699.35,,,,1160.0,65000.0,,1342.0,,,,,,,,,,728.4171360000001,ft,,in,,in,,,,False,False,False,755.46011399857
820.0,40.0,0.344,,,2429.86,GirthWeld,,,,,,,,,,,0.7,707.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,,740.6213280000001,ft,,in,,in,,,,False,False,False,767.6700469122301
830.0,40.06,0.344,,,2469.86,GirthWeld,,,,,,,,,,,0.7,714.69,,,,1160.0,65000.0,,1342.0,,,,,,,,,,752.8133280000001,ft,,in,,in,,,,False,False,False,779.8677820907117
840.0,40.04,0.344,,,2509.92,GirthWeld,,,,,,,,,,,0.7,721.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,,765.0236160000001,ft,,in,,in,,,,False,False,False,792.0838138719611
850.0,40.06,0.344,,,2549.96,GirthWeld,,,,,,,,,,,0.7,727.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,,777.2278080000001,ft,,in,,in,,,,False,False,False,804.2937467856211
860.0,40.06,0.344,,,2590.02,GirthWeld,,,,,,,,,,,0.7,732.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,789.4380960000001,ft,,in,,in,,,,False,False,False,816.5097785668705
870.0,40.03,0.344,,,2630.08,GirthWeld,,,,,,,,,,,0.7,736.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,,801.648384,ft,,in,,in,,,,False,False,False,828.7258103481197
880.0,40.05,0.344,,,2670.11,GirthWeld,,,,,,,,,,,0.7,740.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,813.8495280000001,ft,,in,,in,,,,False,False,False,840.9326938279853
890.0,40.1,0.344,,,2710.16,GirthWeld,,,,,,,,,,,0.7,743.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,826.056768,ft,,in,,in,,,,False,False,False,853.14567617544
900.0,40.09,0.344,,,2750.26,GirthWeld,,,,,,,,,,,0.7,745.9,,,,1160.0,65000.0,,1342.0,,,,,,,,,,838.279248,ft,,in,,in,,,,False,False,False,865.3739056918679
910.0,40.08,0.344,,,2790.34,GirthWeld,,,,,,,,,,,0.7,746.85,,,,1160.0,65000.0,,1342.0,,,,,,,,,,850.4956320000001,ft,,in,,in,,,,False,False,False,877.5960363407065
920.0,40.11,0.344,,,2830.42,GirthWeld,,,,,,,,,,,0.7,747.57,,,,1160.0,65000.0,,1342.0,,,,,,,,,,862.7120160000001,ft,,in,,in,,,,False,False,False,889.818166989545
930.0,8.06,0.5,,,2870.53,GirthWeld,,,,,,,,,,,0.7,748.21,,,,1160.0,60000.0,,1800.0,,,,,,,,,,874.9375440000001,ft,,in,,in,,,,False,False,False,902.0494459397676
930.0,,,,,2874.78,Bend,,,,,,,,,5.4D -  19° - Left,,,748.27,,,,,,,,,,,,,,,,,876.2329440000001,ft,,in,,in,,,,False,False,False,903.3454553024812
940.0,31.2,0.344,,,2878.59,GirthWeld,,,,,,,,,,,0.7,748.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,,877.3942320000001,ft,,in,,in,,,,False,False,False,904.5072895782316
950.0,39.98,0.344,,,2909.79,GirthWeld,,,,,,,,,,,0.7,748.63,,,,1160.0,65000.0,,1342.0,,,,,,,,,,886.903992,ft,,in,,in,,,,False,False,False,914.0215230174472
960.0,40.03,0.344,,,2949.78,GirthWeld,,,,,,,,,,,0.7,748.95,,,,1160.0,65000.0,,1342.0,,,,,,,,,,899.0929440000001,ft,,in,,in,,,,False,False,False,926.2162087621342
970.0,39.77,0.344,,,2989.81,GirthWeld,,,,,,,,,,,0.7,749.59,,,,1160.0,65000.0,,1342.0,,,,,,,,,,911.294088,ft,,in,,in,,,,False,False,False,938.4230922419996
980.0,40.04,0.344,,,3029.58,GirthWeld,,,,,,,,,,,0.7,750.63,,,,1160.0,65000.0,,1342.0,,,,,,,,,,923.415984,ft,,in,,in,,,,False,False,False,950.550690443205
980.0,,,,,3036.06,AGM,,,,,,,,,AGM#1 AT PLM/ ON ROW,,,750.84,,,,,,,,,,,,,,,,,925.3910880000001,ft,,in,,in,,,,False,False,False,952.526723542119
990.0,39.99,0.344,,,3069.62,GirthWeld,,,,,,,,,,,0.7,749.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,,935.620176,ft,,in,,in,,,,False,False,False,962.7606233568652
990.0,,,,,3075.49,Tap,,,,,,,,12:00:00,,,,748.83,,,,,,,,,,,,,,,,0.0,937.409352,ft,,in,,in,,0.0,,True,False,False,964.5506409943073
1000.0,38.46,0.344,,,3109.62,GirthWeld,,,,,,,,,,,0.7,747.44,,,,1160.0,65000.0,,1342.0,,,,,,,,,,947.812176,ft,,in,,in,,,,False,False,False,974.9583585353467
1010.0,40.08,0.344,,,3148.08,GirthWeld,,,,,,,,,,,0.7,746.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,,959.5347840000001,ft,,in,,in,,,,False,False,False,986.6864809094568
