J. no.,J. len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification
200.0,12.15,0.344,,417.43,780.0987,Girth Weld,,,,,,,,"0.344""",,127.23266400000001,ft,,in,,in,,,weld,False,False,True
210.0,16.42,0.5,,429.59,782.1364,Girth Weld,,,,,,,,"0.500""",,130.939032,ft,,in,,in,,,weld,False,False,True
,,,,434.06,782.6746,Bend,,,,,,,,5.4D - 33° - Over,,132.301488,ft,,in,,in,,,bend,False,False,True
220.0,40.0,0.344,,446.01,783.0711,Girth Weld,,,,,,,,"0.344""",,135.943848,ft,,in,,in,,,weld,False,False,True
230.0,40.14,0.344,,486.01,783.967,Girth Weld,,,,,,,,,,148.135848,ft,,in,,in,,,weld,False,False,True
240.0,40.27,0.344,,526.15,786.286,Girth Weld,,,,,,,,,,160.37052,ft,,in,,in,,,weld,False,False,True
250.0,40.04,0.344,,566.41,790.952,Girth Weld,,,,,,,,,,172.64176799999998,ft,,in,,in,,,weld,False,False,True
,,0.344,-39.17,605.58,797.0721,Cluster,10.0,,0.86,2.41,,09:48:00,NO,,270.0,184.58078400000002,ft,21.843999999999998,in,61.214,in,10.0,270.0,cluster,True,True,True
260.0,31.32,0.344,,606.45,797.2095,Girth Weld,,,,,,,,,,184.84596000000002,ft,,in,,in,,,weld,False,False,True
,,0.344,-30.35,636.8,802.0368,Cluster,15.0,,1.85,8.94,,04:38:00,NO,,120.0,194.09664,ft,46.99,in,227.07599999999996,in,15.0,120.0,cluster,True,True,True
270.0,9.63,0.5,,637.77,802.1902,Girth Weld,,,,,,,,"0.500""",,194.39229600000002,ft,,in,,in,,,weld,False,False,True
,,,,642.57,802.7909,Bend,,,,,,,,5.0D - 25° - Over,,195.85533600000002,ft,,in,,in,,,bend,False,False,True
280.0,8.01,0.5,,647.4,802.9092,Girth Weld,,,,,,,,,,197.32752,ft,,in,,in,,,weld,False,False,True
,,,,651.09,802.9466,Bend,,,,,,,,6.0D - 19° - Left,,198.452232,ft,,in,,in,,,bend,False,False,True
290.0,15.08,0.344,,655.41,803.0308,Girth Weld,,,,,,,,"0.344""",,199.768968,ft,,in,,in,,,weld,False,False,True
,,0.344,-13.32,668.73,803.305,Cluster,21.0,,4.67,10.14,1.74,01:34:00,NO,,30.0,203.82890400000002,ft,118.618,in,257.556,in,21.0,30.0,cluster,True,True,True
,,0.344,-13.41,668.81,803.3067,metal loss,40.0,,1.02,0.94,1.85,09:38:00,NO,,270.0,203.853288,ft,25.907999999999998,in,23.875999999999998,in,40.0,270.0,corrosion,True,True,True
300.0,7.87,0.5,,670.49,803.3409,Girth Weld,,,,,,,,"0.500""",,204.365352,ft,,in,,in,,,weld,False,False,True
,,,,674.53,803.4976,Bend,,,,,,,,6.6D - 18° - Sag,,205.596744,ft,,in,,in,,,bend,False,False,True
310.0,8.75,0.344,,678.36,803.9424,Girth Weld,,,,,,,,"0.344""",,206.76412800000003,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.86,679.22,804.051,metal loss,25.0,,2.36,1.3,1.81,08:16:00,NO,,240.0,207.02625600000002,ft,59.943999999999996,in,33.019999999999996,in,25.0,240.0,corrosion,True,True,True
,,0.344,-0.92,679.28,804.058,metal loss,15.0,,1.61,5.95,,08:50:00,NO,,240.0,207.044544,ft,40.894,in,151.13,in,15.0,240.0,corrosion,True,True,True
320.0,10.37,0.344,,687.11,805.0548,Girth Weld,,,,,,,,,,209.431128,ft,,in,,in,,,weld,False,False,True
330.0,39.97,0.344,,697.49,806.3648,Girth Weld,,,,,,,,,,212.594952,ft,,in,,in,,,weld,False,False,True
340.0,11.29,0.5,,737.46,811.3765,Girth Weld,,,,,,,,"0.500""",,224.77780800000002,ft,,in,,in,,,weld,False,False,True
,,,,743.36,812.0506,Bend,,,,,,,,5.3D - 31° - Left,,226.576128,ft,,in,,in,,,bend,False,False,True
350.0,6.0,0.344,,748.75,812.4028,Girth Weld,,,,,,,,"0.344""",,228.21900000000002,ft,,in,,in,,,weld,False,False,True
360.0,30.57,0.344,,754.75,812.7252,Girth Weld,,,,,,,,,,230.04780000000002,ft,,in,,in,,,weld,False,False,True
370.0,37.86,0.344,,785.32,814.0967,Girth Weld,,,,,,,,,,239.36553600000002,ft,,in,,in,,,weld,False,False,True
380.0,40.01,0.344,,823.17,815.3422,Girth Weld,,,,,,,,,,250.902216,ft,,in,,in,,,weld,False,False,True
390.0,40.04,0.344,,863.19,816.5633,Girth Weld,,,,,,,,,,263.10031200000003,ft,,in,,in,,,weld,False,False,True
400.0,40.08,0.344,,903.23,817.9138,Girth Weld,,,,,,,,,,275.304504,ft,,in,,in,,,weld,False,False,True
410.0,12.47,0.5,,943.31,819.4339,Girth Weld,,,,,,,,"0.500""",,287.520888,ft,,in,,in,,,weld,False,False,True
,,,,949.2,819.7213,Bend,,,,,,,,7.1D - 33° - Right,,289.31616,ft,,in,,in,,,bend,False,False,True
420.0,29.6,0.344,,955.78,820.3454,Girth Weld,,,,,,,,"0.344""",,291.321744,ft,,in,,in,,,weld,False,False,True
,,0.344,-1.56,957.34,820.5215,Cluster,28.0,,3.46,3.33,1.74,04:17:00,NO,,120.0,291.797232,ft,87.884,in,84.582,in,28.0,120.0,cluster,True,True,True
,,0.344,-1.77,957.56,820.5458,metal loss,17.0,,1.14,1.14,,03:44:00,NO,,90.0,291.864288,ft,28.955999999999996,in,28.955999999999996,in,17.0,90.0,corrosion,True,True,True
430.0,13.88,0.5,,985.38,823.7079,Girth Weld,,,,,,,,"0.500""",,300.34382400000004,ft,,in,,in,,,weld,False,False,True
,,,,992.14,824.4797,Bend,,,,,,,,6.2D - 38° - Right,,302.404272,ft,,in,,in,,,bend,False,False,True
440.0,40.04,0.344,,999.26,825.2617,Girth Weld,,,,,,,,"0.344""",,304.574448,ft,,in,,in,,,weld,False,False,True
450.0,39.96,0.344,,1039.3,828.7596,Girth Weld,,,,,,,,,,316.77864,ft,,in,,in,,,weld,False,False,True
,,0.344,-32.37,1071.67,831.4453,metal loss-manufacturing anomaly,18.0,,0.67,0.83,,12:19:00,,,0.0,326.64501600000006,ft,17.018,in,21.081999999999997,in,18.0,0.0,corrosion,True,True,True
460.0,39.98,0.344,,1079.26,832.0774,Girth Weld,,,,,,,,,,328.95844800000003,ft,,in,,in,,,weld,False,False,True
470.0,39.99,0.344,,1119.24,835.498,Girth Weld,,,,,,,,,,341.144352,ft,,in,,in,,,weld,False,False,True
480.0,40.04,0.344,,1159.23,839.1296,Girth Weld,,,,,,,,,,353.333304,ft,,in,,in,,,weld,False,False,True
,,0.344,-38.85,1198.08,842.8628,Cluster,13.0,,4.9,1.11,,04:10:00,YES,,120.0,365.174784,ft,124.46000000000001,in,28.194000000000003,in,13.0,120.0,cluster,True,True,True
490.0,39.97,0.344,,1199.28,842.9833,Girth Weld,,,,,,,,,,365.540544,ft,,in,,in,,,weld,False,False,True
,,0.344,-5.26,1204.54,843.5122,Cluster,13.0,,8.21,5.13,,03:56:00,YES,,90.0,367.143792,ft,208.53400000000002,in,130.302,in,13.0,90.0,cluster,True,True,True
,,0.344,-27.45,1226.73,845.7444,Cluster,10.0,,2.05,0.73,,07:51:00,YES,,210.0,373.907304,ft,52.06999999999999,in,18.541999999999998,in,10.0,210.0,cluster,True,True,True
,,0.344,-32.07,1231.34,846.2109,Cluster,10.0,,4.49,4.88,,03:44:00,YES,,90.0,375.312432,ft,114.04599999999999,in,123.95199999999998,in,10.0,90.0,cluster,True,True,True
,,0.344,-38.85,1238.12,846.9762,Cluster,10.0,,0.97,1.78,,07:51:00,YES,,210.0,377.37897599999997,ft,24.637999999999998,in,45.211999999999996,in,10.0,210.0,cluster,True,True,True
500.0,39.98,0.344,,1239.25,847.1082,Girth Weld,,,,,,,,,,377.7234,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.16,1239.41,847.1265,Cluster,11.0,,0.94,3.88,,03:45:00,YES,,90.0,377.772168,ft,23.875999999999998,in,98.55199999999999,in,11.0,90.0,cluster,True,True,True
,,0.344,-3.37,1242.62,847.502,Cluster,11.0,,8.17,5.95,,03:31:00,YES,,90.0,378.75057599999997,ft,207.518,in,151.13,in,11.0,90.0,cluster,True,True,True
,,0.344,-13.67,1252.92,848.7088,Cluster,10.0,,5.48,5.26,,07:41:00,YES,,210.0,381.89001600000006,ft,139.192,in,133.60399999999998,in,10.0,210.0,cluster,True,True,True
,,0.344,-17.53,1256.78,849.1625,Cluster,10.0,,1.02,2.2,,03:35:00,YES,,90.0,383.066544,ft,25.907999999999998,in,55.88,in,10.0,90.0,cluster,True,True,True
,,0.344,-23.45,1262.7,849.8628,Cluster,11.0,,25.08,6.14,,07:45:00,YES,,210.0,384.87096,ft,637.0319999999999,in,155.956,in,11.0,210.0,cluster,True,True,True
,,0.344,-25.02,1264.27,850.0493,metal loss,10.0,,0.47,0.59,,03:17:00,YES,,90.0,385.349496,ft,11.937999999999999,in,14.985999999999999,in,10.0,90.0,corrosion,True,True,True
,,0.344,-26.64,1265.9,850.2413,Cluster,11.0,,7.7,3.98,,03:20:00,YES,,90.0,385.84632000000005,ft,195.57999999999998,in,101.092,in,11.0,90.0,cluster,True,True,True
,,0.344,-36.54,1275.79,851.4171,Cluster,10.0,,5.03,3.86,,08:16:00,YES,,240.0,388.860792,ft,127.762,in,98.044,in,10.0,240.0,cluster,True,True,True
,,0.344,-37.65,1276.9,851.5489,Cluster,11.0,,9.19,5.01,,07:59:00,YES,,210.0,389.19912000000005,ft,233.426,in,127.25399999999999,in,11.0,210.0,cluster,True,True,True
,,0.344,-39.55,1278.81,851.7731,Cluster,10.0,,5.35,9.59,,07:46:00,YES,,210.0,389.781288,ft,135.89,in,243.58599999999998,in,10.0,210.0,cluster,True,True,True
510.0,40.03,0.344,,1279.23,851.8231,Girth Weld,,,,,,,,,,389.909304,ft,,in,,in,,,weld,False,False,True
,,0.344,-5.12,1284.35,852.4263,Cluster,11.0,,2.45,7.96,,02:38:00,YES,,60.0,391.46988,ft,62.230000000000004,in,202.184,in,11.0,60.0,cluster,True,True,True
,,0.344,-17.29,1296.52,853.8535,Cluster,10.0,,1.68,5.01,,08:41:00,YES,,240.0,395.179296,ft,42.672,in,127.25399999999999,in,10.0,240.0,cluster,True,True,True
,,0.344,-17.74,1296.97,853.9065,Cluster,10.0,,2.5,3.56,,02:45:00,YES,,60.0,395.316456,ft,63.5,in,90.42399999999999,in,10.0,60.0,cluster,True,True,True
,,0.344,-20.56,1299.79,854.2387,Cluster,10.0,,5.15,4.65,,08:33:00,YES,,240.0,396.175992,ft,130.81,in,118.11,in,10.0,240.0,cluster,True,True,True
,,0.344,-23.44,1302.67,854.5774,metal loss,12.0,,0.55,0.55,,01:57:00,YES,,30.0,397.05381600000004,ft,13.97,in,13.97,in,12.0,30.0,corrosion,True,True,True
520.0,40.02,0.344,,1319.26,856.5336,Girth Weld,,,,,,,,,,402.110448,ft,,in,,in,,,weld,False,False,True
,,0.344,-3.65,1322.91,856.9639,Cluster,10.0,,1.82,2.26,,09:33:00,YES,,270.0,403.22296800000004,ft,46.228,in,57.40399999999999,in,10.0,270.0,cluster,True,True,True
,,0.344,-11.21,1330.47,857.8544,Cluster,10.0,,9.49,7.52,,08:40:00,YES,,240.0,405.527256,ft,241.046,in,191.00799999999998,in,10.0,240.0,cluster,True,True,True
,,0.344,-21.77,1341.04,859.1039,Cluster,10.0,,27.71,19.52,,12:49:00,YES,,0.0,408.748992,ft,703.834,in,495.80799999999994,in,10.0,0.0,cluster,True,True,True
,,0.344,-22.93,1342.19,859.2408,metal loss,10.0,,0.59,0.71,,12:24:00,YES,,0.0,409.09951200000006,ft,14.985999999999999,in,18.034,in,10.0,0.0,corrosion,True,True,True
,,0.344,-29.41,1348.67,860.0116,metal loss,10.0,,0.55,0.71,,12:26:00,YES,,0.0,411.07461600000005,ft,13.97,in,18.034,in,10.0,0.0,corrosion,True,True,True
,,0.344,-30.73,1349.99,860.1694,Cluster,11.0,,1.61,3.9,,01:40:00,YES,,30.0,411.47695200000004,ft,40.894,in,99.05999999999999,in,11.0,30.0,cluster,True,True,True
,,0.344,-39.98,1359.24,861.2799,Cluster,13.0,,7.85,12.23,,08:48:00,YES,,240.0,414.296352,ft,199.39,in,310.642,in,13.0,240.0,cluster,True,True,True
530.0,40.0,0.344,,1359.29,861.2848,Girth Weld,,,,,,,,,,414.311592,ft,,in,,in,,,weld,False,False,True
,,0.344,-4.19,1363.47,861.7895,Cluster,10.0,,3.68,17.3,,12:59:00,YES,,0.0,415.58565600000003,ft,93.472,in,439.42,in,10.0,0.0,cluster,True,True,True
,,0.344,-6.84,1366.12,862.1094,Cluster,12.0,,13.34,14.31,,01:45:00,YES,,30.0,416.393376,ft,338.83599999999996,in,363.474,in,12.0,30.0,cluster,True,True,True
,,0.344,-7.39,1366.68,862.1763,Cluster,12.0,,2.83,3.31,,09:25:00,YES,,270.0,416.56406400000003,ft,71.88199999999999,in,84.074,in,12.0,270.0,cluster,True,True,True
,,0.344,-7.79,1367.08,862.2245,Cluster,11.0,,44.24,12.19,,08:15:00,YES,,240.0,416.685984,ft,1123.696,in,309.626,in,11.0,240.0,cluster,True,True,True
,,0.344,-8.89,1368.18,862.3573,Cluster,11.0,,26.45,12.59,,02:10:00,YES,,60.0,417.02126400000003,ft,671.8299999999999,in,319.786,in,11.0,60.0,cluster,True,True,True
,,0.344,-11.78,1371.07,862.7063,Cluster,10.0,,14.12,13.51,,08:09:00,YES,,240.0,417.902136,ft,358.64799999999997,in,343.154,in,10.0,240.0,cluster,True,True,True
,,0.344,-12.24,1371.53,862.7616,Cluster,13.0,,12.13,11.86,,02:05:00,YES,,60.0,418.042344,ft,308.102,in,301.24399999999997,in,13.0,60.0,cluster,True,True,True
,,0.344,-13.15,1372.43,862.871,Cluster,10.0,,15.32,11.54,,02:18:00,YES,,60.0,418.31666400000006,ft,389.128,in,293.116,in,10.0,60.0,cluster,True,True,True
,,0.344,-15.15,1374.44,863.113,Cluster,10.0,,7.01,11.81,,08:16:00,YES,,240.0,418.92931200000004,ft,178.05399999999997,in,299.974,in,10.0,240.0,cluster,True,True,True
,,0.344,-16.78,1376.07,863.3097,Cluster,11.0,,1.7,1.82,,09:46:00,YES,,270.0,419.426136,ft,43.18,in,46.228,in,11.0,270.0,cluster,True,True,True
,,0.344,-20.62,1379.91,863.77,Cluster,10.0,,6.49,11.08,,08:27:00,YES,,240.0,420.59656800000005,ft,164.846,in,281.43199999999996,in,10.0,240.0,cluster,True,True,True
,,0.344,-20.79,1380.08,863.7899,Cluster,11.0,,13.16,12.61,,02:04:00,YES,,60.0,420.648384,ft,334.264,in,320.294,in,11.0,60.0,cluster,True,True,True
,,0.344,-21.68,1380.97,863.8966,Cluster,10.0,,5.74,2.72,,08:22:00,YES,,240.0,420.91965600000003,ft,145.796,in,69.08800000000001,in,10.0,240.0,cluster,True,True,True
,,0.344,-21.96,1381.24,863.9297,Cluster,10.0,,2.18,3.77,,03:04:00,YES,,90.0,421.001952,ft,55.372,in,95.758,in,10.0,90.0,cluster,True,True,True
,,0.344,-23.32,1382.61,864.0927,Cluster,11.0,,9.08,11.83,,02:04:00,YES,,60.0,421.419528,ft,230.63199999999998,in,300.48199999999997,in,11.0,60.0,cluster,True,True,True
,,0.344,-24.35,1383.64,864.2158,Cluster,10.0,,4.88,11.98,,08:21:00,YES,,240.0,421.73347200000006,ft,123.95199999999998,in,304.292,in,10.0,240.0,cluster,True,True,True
,,0.344,-30.6,1389.89,864.9379,Cluster,13.0,,9.49,12.15,,01:56:00,YES,,30.0,423.63847200000004,ft,241.046,in,308.61,in,13.0,30.0,cluster,True,True,True
,,0.344,-35.26,1394.54,865.4626,Cluster,10.0,,7.66,14.01,,01:56:00,YES,,30.0,425.055792,ft,194.564,in,355.854,in,10.0,30.0,cluster,True,True,True
,,0.344,-35.43,1394.71,865.4814,Cluster,11.0,,13.49,11.29,,08:29:00,YES,,240.0,425.107608,ft,342.64599999999996,in,286.76599999999996,in,11.0,240.0,cluster,True,True,True
,,0.344,-36.63,1395.92,865.6171,Cluster,11.0,,4.52,9.59,,08:36:00,YES,,240.0,425.47641600000003,ft,114.80799999999998,in,243.58599999999998,in,11.0,240.0,cluster,True,True,True
,,0.344,-38.81,1398.09,865.8604,Cluster,11.0,,5.52,20.09,,06:48:00,YES,,180.0,426.137832,ft,140.20799999999997,in,510.28599999999994,in,11.0,180.0,cluster,True,True,True
,,0.344,-39.42,1398.71,865.9294,Cluster,10.0,,8.11,17.45,,08:22:00,YES,,240.0,426.326808,ft,205.99399999999997,in,443.22999999999996,in,10.0,240.0,cluster,True,True,True
,,0.344,-39.43,1398.71,865.9296,Cluster,12.0,,6.7,10.33,,02:13:00,YES,,60.0,426.326808,ft,170.18,in,262.382,in,12.0,60.0,cluster,True,True,True
,,0.344,-39.45,1398.73,865.9318,Cluster,13.0,,7.19,5.91,,05:53:00,YES,,150.0,426.33290400000004,ft,182.626,in,150.114,in,13.0,150.0,cluster,True,True,True
540.0,39.94,0.344,,1399.29,865.994,Girth Weld,,,,,,,,,,426.503592,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.06,1399.35,866.0009,Cluster,11.0,,5.58,13.26,,01:53:00,YES,,30.0,426.52188,ft,141.732,in,336.804,in,11.0,30.0,cluster,True,True,True
,,0.344,-0.53,1399.82,866.0529,Cluster,10.0,,12.95,14.68,,01:48:00,YES,,30.0,426.665136,ft,328.92999999999995,in,372.87199999999996,in,10.0,30.0,cluster,True,True,True
,,0.344,-4.99,1404.28,866.5504,Cluster,10.0,,1.58,6.47,,02:43:00,YES,,60.0,428.024544,ft,40.132,in,164.338,in,10.0,60.0,cluster,True,True,True
,,0.344,-5.63,1404.92,866.6216,Cluster,11.0,,3.47,2.81,,08:30:00,YES,,240.0,428.21961600000003,ft,88.138,in,71.374,in,11.0,240.0,cluster,True,True,True
,,0.344,-5.68,1404.97,866.6281,Cluster,10.0,,6.19,10.12,,08:38:00,YES,,240.0,428.23485600000004,ft,157.226,in,257.04799999999994,in,10.0,240.0,cluster,True,True,True
,,0.344,-6.75,1406.04,866.7475,Cluster,10.0,,5.17,8.04,,09:15:00,YES,,270.0,428.560992,ft,131.31799999999998,in,204.21599999999998,in,10.0,270.0,cluster,True,True,True
,,0.344,-7.67,1406.96,866.8492,Cluster,10.0,,17.59,13.24,,08:23:00,YES,,240.0,428.84140800000006,ft,446.78599999999994,in,336.296,in,10.0,240.0,cluster,True,True,True
,,0.344,-9.24,1408.53,867.0232,Cluster,10.0,,9.12,11.21,,08:39:00,YES,,240.0,429.319944,ft,231.64799999999997,in,284.734,in,10.0,240.0,cluster,True,True,True
,,0.344,-9.86,1409.15,867.0924,Cluster,10.0,,6.43,5.91,,02:10:00,YES,,60.0,429.50892000000005,ft,163.32199999999997,in,150.114,in,10.0,60.0,cluster,True,True,True
,,0.344,-13.25,1412.54,867.469,Cluster,11.0,,18.37,11.52,,08:51:00,YES,,240.0,430.542192,ft,466.598,in,292.60799999999995,in,11.0,240.0,cluster,True,True,True
,,0.344,-15.8,1415.09,867.7519,Cluster,10.0,,4.85,6.79,,02:10:00,YES,,60.0,431.319432,ft,123.18999999999998,in,172.46599999999998,in,10.0,60.0,cluster,True,True,True
,,0.344,-19.92,1419.21,868.2067,metal loss,10.0,,0.67,0.71,,12:22:00,YES,,0.0,432.57520800000003,ft,17.018,in,18.034,in,10.0,0.0,corrosion,True,True,True
,,0.344,-20.2,1419.48,868.2372,Cluster,12.0,,33.85,14.64,,08:29:00,YES,,240.0,432.657504,ft,859.79,in,371.856,in,12.0,240.0,cluster,True,True,True
,,0.344,-24.08,1423.37,868.6651,Cluster,10.0,,6.65,6.49,,01:53:00,YES,,30.0,433.84317599999997,ft,168.91,in,164.846,in,10.0,30.0,cluster,True,True,True
,,0.344,-25.11,1424.4,868.7783,Cluster,11.0,,37.4,13.43,,08:42:00,YES,,240.0,434.1571200000001,ft,949.9599999999999,in,341.12199999999996,in,11.0,240.0,cluster,True,True,True
,,0.344,-26.15,1425.43,868.8925,Cluster,14.0,,12.29,7.46,,02:17:00,YES,,60.0,434.47106400000007,ft,312.16599999999994,in,189.48399999999998,in,14.0,60.0,cluster,True,True,True
,,0.344,-29.65,1428.94,869.2758,Cluster,10.0,,6.01,8.48,,01:54:00,YES,,30.0,435.54091200000005,ft,152.654,in,215.392,in,10.0,30.0,cluster,True,True,True
,,0.344,-30.2,1429.49,869.3364,Cluster,12.0,,7.54,8.63,,01:49:00,YES,,30.0,435.708552,ft,191.516,in,219.202,in,12.0,30.0,cluster,True,True,True
,,0.344,-31.62,1430.91,869.4911,Cluster,10.0,,3.85,6.58,,02:09:00,YES,,60.0,436.14136800000006,ft,97.78999999999999,in,167.132,in,10.0,60.0,cluster,True,True,True
,,0.344,-33.05,1432.34,869.6466,Cluster,10.0,,12.38,12.38,,01:44:00,YES,,30.0,436.577232,ft,314.452,in,314.452,in,10.0,30.0,cluster,True,True,True
,,0.344,-34.03,1433.32,869.7533,metal loss-manufacturing anomaly,12.0,,0.63,0.71,,11:41:00,,,330.0,436.875936,ft,16.002,in,18.034,in,12.0,330.0,corrosion,True,True,True
,,0.344,-36.25,1435.54,869.9959,Cluster,10.0,,5.23,9.59,,01:56:00,YES,,30.0,437.552592,ft,132.842,in,243.58599999999998,in,10.0,30.0,cluster,True,True,True
,,0.344,-39.21,1438.5,870.3163,Cluster,10.0,,6.94,7.96,,01:51:00,YES,,30.0,438.45480000000003,ft,176.276,in,202.184,in,10.0,30.0,cluster,True,True,True
